Region,Prefecture,City,Link,Description,Rating,Visits,Recommendation
Hokkaido,Cities and Resort Towns,Niseko,https://www.japan-guide.com/e/e6720.html,Leading snow resort with lots of powder snow.,4.1,373,Recommended
Hokkaido,Cities and Resort Towns,Sapporo,https://www.japan-guide.com/e/e2163.html,The largest city on the island of Hokkaido.,4.0,"2,572",Recommended
Hokkaido,Cities and Resort Towns,Furano,https://www.japan-guide.com/e/e6825.html,Towns with beautiful lavender and flower fields.,4.0,886,Recommended
Hokkaido,Cities and Resort Towns,Noboribetsu,https://www.japan-guide.com/e/e6750.html,Hokkaido's most famous hot spring resort.,4.0,619,Recommended
Hokkaido,Cities and Resort Towns,Hakodate,https://www.japan-guide.com/e/e5350.html,Southernmost city on Hokkaido.,3.9,"1,408",Recommended
Hokkaido,Cities and Resort Towns,Otaru,https://www.japan-guide.com/e/e6700.html,Harbor city near Sapporo with a canal.,3.9,"1,421",Recommended
Hokkaido,Cities and Resort Towns,Matsumae,https://www.japan-guide.com/e/e5380.html,The only former castle town on Hokkaido.,3.6,39,
Hokkaido,Cities and Resort Towns,Asahikawa,https://www.japan-guide.com/e/e6890.html,City in central Hokkaido famous for its zoo.,3.5,638,
Hokkaido,Cities and Resort Towns,Rusutsu,https://www.japan-guide.com/e/e6715.html,Attractive ski resort near Niseko.,3.4,146,
Hokkaido,Cities and Resort Towns,Jozankei Onsen,https://www.japan-guide.com/e/e6745.html,Hot spring resort in the mountains outside central Sapporo.,3.4,204,
Hokkaido,Cities and Resort Towns,Tomamu,https://www.japan-guide.com/e/e6845.html,Large ski resort in central Hokkaido.,3.3,58,
Hokkaido,Cities and Resort Towns,Kushiro,https://www.japan-guide.com/e/e6790.html,City in eastern Hokkaido near a large marshland,3.2,337,
Hokkaido,Cities and Resort Towns,Abashiri,https://www.japan-guide.com/e/e6865.html,Known for its prison and drift ice in winter.,3.0,500,
Hokkaido,Cities and Resort Towns,Kiroro Ski Resort,https://www.japan-guide.com/e/e6716.html,Ski resort between Sapporo and Niseko.,NA,4,
Hokkaido,National Parks,Shiretoko,https://www.japan-guide.com/e/e6850.html,National park on an unspoiled peninsula.,4.3,360,Highly Recommended
Hokkaido,National Parks,Rishiri and Rebun,https://www.japan-guide.com/e/e6875.html,Small islands near Hokkaido's northern tip.,4.3,115,Highly Recommended
Hokkaido,National Parks,Daisetsuzan,https://www.japan-guide.com/e/e6775.html,Hokkaido's largest and wildest national park.,4.1,363,Highly Recommended
Hokkaido,National Parks,Onuma Park,https://www.japan-guide.com/e/e5356.html,National park 20 kilometers north of Hakodate.,3.8,147,Recommended
Hokkaido,National Parks,Akan Mashu National Park,https://www.japan-guide.com/e/e6800.html,National park with beautiful lakes.,3.7,511,Recommended
Hokkaido,National Parks,Lake Toya,https://www.japan-guide.com/e/e6725.html,"Site of Mount Usu, an active volcano.",3.6,437,Recommended
Hokkaido,National Parks,Lake Shikotsu,https://www.japan-guide.com/e/e6736.html,Picturesque caldera lake near Sapporo.,3.4,188,Recommended
Hokkaido,National Parks,Kushiro Marshlands,https://www.japan-guide.com/e/e6792.html,Marshlands populated by Japanese cranes.,3.2,325,
Tohoku,Aomori,Towada,https://www.japan-guide.com/e/e3776.html,Caldera lake famous for autumn colors.,4.0,382,Recommended
Tohoku,Aomori,Shimokita Hanto,https://www.japan-guide.com/e/e3725.html,Remote peninsula famed for Fear Mountain.,3.9,153,Recommended
Tohoku,Aomori,Hirosaki,https://www.japan-guide.com/e/e3701.html,Former castle town in Northern Tohoku.,3.7,470,Recommended
Tohoku,Aomori,Shirakami Sanchi,https://www.japan-guide.com/e/e3790.html,Mountain range with virgin beech forests.,3.9,118,
Tohoku,Aomori,Aomori,https://www.japan-guide.com/e/e3750.html,City best known for its Nebuta Matsuri.,3.5,813,
Tohoku,Akita,Hachimantai,https://www.japan-guide.com/e/e3651.html,Mountainous region with rustic hot springs.,3.8,261,Recommended
Tohoku,Akita,Kakunodate,https://www.japan-guide.com/e/e3601.html,City with nicely preserved samurai district.,3.7,371,Recommended
