Region,Prefecture,City,Link,Description,Rating,Visits,Rating_Normalized,Visits_Normalized,Balanced_Score,Popular_Score,Hidden_Gem_Score
Hokkaido,Cities and Resort Towns,Niseko,https://www.japan-guide.com/e/e6720.html,Leading snow resort with lots of powder snow.,4.1,373,0.8541666666666666,0.03053372626064178,0.4423501964636542,0.3159109126009605,0.8945215291421087
Hokkaido,Cities and Resort Towns,Sapporo,https://www.japan-guide.com/e/e2163.html,The largest city on the island of Hokkaido.,4.0,2572,0.8333333333333334,0.210543549443353,0.5219384413883432,0.4057110892818162,0.8179764243614932
Hokkaido,Cities and Resort Towns,Furano,https://www.japan-guide.com/e/e6825.html,Towns with beautiful lavender and flower fields.,4.0,886,0.8333333333333334,0.07252783235101506,0.45293058284217425,0.3309525758567998,0.8662819253438114
Hokkaido,Cities and Resort Towns,Noboribetsu,https://www.japan-guide.com/e/e6750.html,Hokkaido's most famous hot spring resort.,4.0,619,0.8333333333333334,0.05067125081859856,0.442002292075966,0.3191135941934075,0.8739317288801572
Hokkaido,Cities and Resort Towns,Hakodate,https://www.japan-guide.com/e/e5350.html,Southernmost city on Hokkaido.,3.9,1408,0.8125,0.11525867714472822,0.46387933857236413,0.34524598886705954,0.8377844629993452
Hokkaido,Cities and Resort Towns,Otaru,https://www.japan-guide.com/e/e6700.html,Harbor city near Sapporo with a canal.,3.9,1421,0.8125,0.11632285527177472,0.4644114276358874,0.345808007940406,0.8374120006548789
Hokkaido,Cities and Resort Towns,Matsumae,https://www.japan-guide.com/e/e5380.html,The only former castle town on Hokkaido.,3.6,39,0.75,0.0031925343811394892,0.37659626719056977,0.2640563605108055,0.8363826129666012
Hokkaido,Cities and Resort Towns,Asahikawa,https://www.japan-guide.com/e/e6890.html,City in central Hokkaido famous for its zoo.,3.5,638,0.7291666666666667,0.05222658808120498,0.39069662737393585,0.27996155997598776,0.8056790275049116
Hokkaido,Cities and Resort Towns,Rusutsu,https://www.japan-guide.com/e/e6715.html,Attractive ski resort near Niseko.,3.4,146,0.7083333333333334,0.01195153896529142,0.3601424361493124,0.2534193543986029,0.8062336280288147
Hokkaido,Cities and Resort Towns,Jozankei Onsen,https://www.japan-guide.com/e/e6745.html,Hot spring resort in the mountains outside central Sapporo.,3.4,204,0.7083333333333334,0.01669941060903733,0.36251637197118536,0.2556053536345776,0.8045718729535036
Hokkaido,Cities and Resort Towns,Tomamu,https://www.japan-guide.com/e/e6845.html,Large ski resort in central Hokkaido.,3.3,58,0.6875,0.004747871643745907,0.34612393582187295,0.24274670514079894,0.7952132449246889
